Sample,Condition
P14_non-diseased,normal
P13_non-diseased,normal
P12_non-diseased,normal
P11_non-diseased,normal
P10_non-diseased,normal
P8_non-diseased,normal
P7_non-diseased,normal
P6_tumor,tumor
P5_tumor,tumor
P4_tumor,tumor
P3_tumor,tumor
P2_tumor,tumor
P1_tumor,tumor
