Sample,Condition
GSM5857900,tumor
GSM5857899,normal
GSM5857898,tumor
GSM5857897,tumor
GSM5857896,normal
GSM5857895,tumor
GSM5857894,tumor
GSM5857893,normal
GSM5857890,tumor
GSM5857892,tumor
GSM5857891,normal
GSM5857889,normal
GSM5857888,tumor
GSM5857887,tumor
GSM5857886,tumor
GSM5857885,tumor
GSM5857884,normal
GSM5857883,tumor
GSM5857882,tumor
