Sample,Condition
GSM4051655,cancer
GSM4051656,cancer
GSM4051657,cancer
GSM4051658,cancer
GSM4051659,cancer
GSM4051660,normal
GSM4051661,normal
GSM4051662,normal
GSM4051663,normal
GSM4051664,normal
