Sample,Condition
GSM5530616,cancer
GSM5530617,cancer
GSM5530618,cancer
GSM5530619,normal
GSM5530620,normal
GSM5530621,normal
GSM5226229,normal
GSM5226230,normal
GSM5226231,normal
GSM5226232,cancer
GSM5226233,cancer
GSM5226234,cancer
