Sample,Condition
14_C5_N_S3,Normal
38_D8_N_S6,Normal
49_A11_N_S8,Normal
10_E3_S1,Tumor
14_C5_S12,Tumor
32_C12_S7,Tumor
34_A3_T_S1,Tumor
38_D8_S8,Tumor
39_B7_2_S9,Tumor
40_G4_T_S9,Tumor
44_C14_S11,Tumor
49_A11_S2,Tumor
11_E4_N_S2,Normal
30_C12_N_S4,Normal
31_A8_N_S5,Normal
48_A3_N_S7,Normal
51_B3_N_S9,Normal
3_B5_S7,Tumor
5_E8_S9,Tumor
6_C8_2_S4,Tumor
8_D4_S10,Tumor
11_E4_S5,Tumor
13_C1_S11,Tumor
15_C13_2_S6,Tumor
20_F6_S1,Tumor
21_C6_S7,Tumor
23_B7_S1,Tumor
24_A14_S2,Tumor
25_B26_S6,Tumor
26_F10_S3,Tumor
27_D8_S7,Tumor
28_C5_S8,Tumor
29_E6_S4,Tumor
30_C12_S5,Tumor
31_A8_S6,Tumor
36_E5_S2,Tumor
43_C10_S10,Tumor
45_C6_S12,Tumor
46_B13_S2,Tumor
48_A3_S1,Tumor
51_B3_S3,Tumor
52_C11_S3,Tumor
53_F6_2_S3,Tumor
55_B9_S4,Tumor
58_F9_S4,Tumor
60_A6_S5,Tumor
62_D7_S5,Tumor
63_B10_S6,Tumor
